2022-09-29 20:39:37,609 - ERROR - Rank 0 | Episode Reward: 9886.98 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1486 | Global Worker Step: 1486000
2022-09-29 20:42:48,131 - ERROR - Rank 0 | Episode Reward: 9917.42 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1496 | Global Worker Step: 1496000
2022-09-29 20:45:59,175 - ERROR - Rank 0 | Episode Reward: 9908.75 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1505 | Global Worker Step: 1505000
2022-09-29 20:49:07,457 - ERROR - Rank 0 | Episode Reward: 9940.98 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1514 | Global Worker Step: 1514000
2022-09-29 20:53:09,598 - ERROR - Rank 0 | Episode Reward: 9814.37 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1527 | Global Worker Step: 1527000
2022-09-29 20:55:43,546 - ERROR - Rank 0 | Traceback (most recent call last):
  File "/home/phb/ETRI/GymSim_s2r/Trainer/Basic_trainer_with_model.py", line 140, in model_trainer
    action_hat = algorithm.imn(mem_observation,
  File "/home/phb/anaconda3/envs/env_test/lib/python3.8/site-packages/torch/nn/modules/module.py", line 1130, in _call_impl
    return forward_call(*input, **kwargs)
  File "/home/phb/ETRI/GymSim_s2r/Network/Model_Network.py", line 278, in forward
    state = self.state_net(out[0])
  File "/home/phb/anaconda3/envs/env_test/lib/python3.8/site-packages/torch/nn/modules/module.py", line 1130, in _call_impl
    return forward_call(*input, **kwargs)
  File "/home/phb/anaconda3/envs/env_test/lib/python3.8/site-packages/torch/nn/modules/container.py", line 139, in forward
    input = module(input)
  File "/home/phb/anaconda3/envs/env_test/lib/python3.8/site-packages/torch/nn/modules/module.py", line 1130, in _call_impl
    return forward_call(*input, **kwargs)
  File "/home/phb/anaconda3/envs/env_test/lib/python3.8/site-packages/torch_ard/torch_ard.py", line 38, in forward
    W = self.weights_clipped
  File "/home/phb/anaconda3/envs/env_test/lib/python3.8/site-packages/torch_ard/torch_ard.py", line 45, in weights_clipped
    return torch.where(clip_mask, torch.zeros_like(self.weight), self.weight)
KeyboardInterrupt

2022-09-29 20:55:43,546 - ERROR - Rank 0 | Traceback (most recent call last):
  File "/home/phb/ETRI/GymSim_s2r/Trainer/Basic_trainer_with_model.py", line 92, in model_trainer
    _ = algorithm.update(algorithm.worker_step)
  File "/home/phb/ETRI/GymSim_s2r/Algorithm/SAC_v3.py", line 190, in update
    s_history, a_history, _, ns, _ = self.buffer.sample(64)
  File "<string>", line 2, in sample
  File "/home/phb/anaconda3/envs/env_test/lib/python3.8/multiprocessing/managers.py", line 835, in _callmethod
    kind, result = conn.recv()
  File "/home/phb/anaconda3/envs/env_test/lib/python3.8/multiprocessing/connection.py", line 250, in recv
    buf = self._recv_bytes()
  File "/home/phb/anaconda3/envs/env_test/lib/python3.8/multiprocessing/connection.py", line 414, in _recv_bytes
    buf = self._recv(4)
  File "/home/phb/anaconda3/envs/env_test/lib/python3.8/multiprocessing/connection.py", line 379, in _recv
    chunk = read(handle, remaining)
KeyboardInterrupt

