2022-10-04 22:22:43,715 - ERROR - Rank 0 | Episode Reward: 9831.29 | Success cnt: 10 | Local Step: 1000 | Global Episode: 490 | Global Worker Step: 490000| Sparsification ratio : 95.781
2022-10-04 22:24:33,171 - ERROR - Rank 0 | Episode Reward: 9803.65 | Success cnt: 10 | Local Step: 1000 | Global Episode: 494 | Global Worker Step: 494000| Sparsification ratio : 96.321
2022-10-04 22:26:23,132 - ERROR - Rank 0 | Episode Reward: 9919.57 | Success cnt: 10 | Local Step: 1000 | Global Episode: 499 | Global Worker Step: 499000| Sparsification ratio : 96.088
2022-10-04 22:28:13,413 - ERROR - Rank 0 | Episode Reward: 9890.49 | Success cnt: 10 | Local Step: 1000 | Global Episode: 504 | Global Worker Step: 504000| Sparsification ratio : 96.243
2022-10-04 22:30:02,417 - ERROR - Rank 0 | Episode Reward: 9925.01 | Success cnt: 10 | Local Step: 1000 | Global Episode: 509 | Global Worker Step: 509000| Sparsification ratio : 95.906
2022-10-04 22:31:51,803 - ERROR - Rank 0 | Episode Reward: 9907.15 | Success cnt: 10 | Local Step: 1000 | Global Episode: 513 | Global Worker Step: 513000| Sparsification ratio : 95.860
2022-10-04 22:33:40,299 - ERROR - Rank 0 | Episode Reward: 9846.58 | Success cnt: 10 | Local Step: 1000 | Global Episode: 518 | Global Worker Step: 518000| Sparsification ratio : 95.739
2022-10-04 22:35:29,226 - ERROR - Rank 0 | Episode Reward: 9808.74 | Success cnt: 10 | Local Step: 1000 | Global Episode: 523 | Global Worker Step: 523000| Sparsification ratio : 96.333
2022-10-04 22:37:17,545 - ERROR - Rank 0 | Episode Reward: 9718.62 | Success cnt: 10 | Local Step: 1000 | Global Episode: 528 | Global Worker Step: 528000| Sparsification ratio : 95.810
2022-10-04 22:39:06,749 - ERROR - Rank 0 | Episode Reward: 9793.64 | Success cnt: 10 | Local Step: 1000 | Global Episode: 533 | Global Worker Step: 533000| Sparsification ratio : 95.730
2022-10-04 22:40:55,028 - ERROR - Rank 0 | Episode Reward: 9778.01 | Success cnt: 10 | Local Step: 1000 | Global Episode: 537 | Global Worker Step: 537000| Sparsification ratio : 96.528
2022-10-04 22:42:44,671 - ERROR - Rank 0 | Episode Reward: 9817.84 | Success cnt: 10 | Local Step: 1000 | Global Episode: 542 | Global Worker Step: 542000| Sparsification ratio : 96.104
2022-10-04 22:44:34,935 - ERROR - Rank 0 | Episode Reward: 9826.68 | Success cnt: 10 | Local Step: 1000 | Global Episode: 547 | Global Worker Step: 547000| Sparsification ratio : 96.206
2022-10-04 22:46:23,291 - ERROR - Rank 0 | Episode Reward: 9947.93 | Success cnt: 10 | Local Step: 1000 | Global Episode: 551 | Global Worker Step: 551000| Sparsification ratio : 96.569
2022-10-04 22:48:12,046 - ERROR - Rank 0 | Episode Reward: 9855.30 | Success cnt: 10 | Local Step: 1000 | Global Episode: 556 | Global Worker Step: 556000| Sparsification ratio : 96.025
2022-10-04 22:50:00,723 - ERROR - Rank 0 | Episode Reward: 9970.98 | Success cnt: 10 | Local Step: 1000 | Global Episode: 561 | Global Worker Step: 561000| Sparsification ratio : 96.103
2022-10-04 22:51:50,725 - ERROR - Rank 0 | Episode Reward: 9980.98 | Success cnt: 10 | Local Step: 1000 | Global Episode: 566 | Global Worker Step: 566000| Sparsification ratio : 96.523
2022-10-04 22:53:39,130 - ERROR - Rank 0 | Episode Reward: 9911.20 | Success cnt: 10 | Local Step: 1000 | Global Episode: 571 | Global Worker Step: 571000| Sparsification ratio : 96.472
2022-10-04 22:55:28,555 - ERROR - Rank 0 | Episode Reward: 9776.64 | Success cnt: 10 | Local Step: 1000 | Global Episode: 575 | Global Worker Step: 575000| Sparsification ratio : 96.143
2022-10-04 22:57:18,393 - ERROR - Rank 0 | Episode Reward: 9859.86 | Success cnt: 10 | Local Step: 1000 | Global Episode: 580 | Global Worker Step: 580000| Sparsification ratio : 96.157
2022-10-04 22:59:07,075 - ERROR - Rank 0 | Episode Reward: 10031.53 | Success cnt: 10 | Local Step: 1000 | Global Episode: 585 | Global Worker Step: 585000| Sparsification ratio : 96.107
2022-10-04 23:00:56,322 - ERROR - Rank 0 | Episode Reward: 9869.20 | Success cnt: 10 | Local Step: 1000 | Global Episode: 589 | Global Worker Step: 589000| Sparsification ratio : 96.302
2022-10-04 23:02:45,987 - ERROR - Rank 0 | Episode Reward: 9849.55 | Success cnt: 10 | Local Step: 1000 | Global Episode: 594 | Global Worker Step: 594000| Sparsification ratio : 96.110
2022-10-04 23:04:35,844 - ERROR - Rank 0 | Episode Reward: 9786.27 | Success cnt: 10 | Local Step: 1000 | Global Episode: 599 | Global Worker Step: 599000| Sparsification ratio : 95.909
2022-10-04 23:06:24,377 - ERROR - Rank 0 | Episode Reward: 10026.70 | Success cnt: 10 | Local Step: 1000 | Global Episode: 604 | Global Worker Step: 604000| Sparsification ratio : 96.330
2022-10-04 23:08:13,365 - ERROR - Rank 0 | Episode Reward: 9807.01 | Success cnt: 10 | Local Step: 1000 | Global Episode: 609 | Global Worker Step: 609000| Sparsification ratio : 96.538
2022-10-04 23:10:03,226 - ERROR - Rank 0 | Episode Reward: 9999.34 | Success cnt: 10 | Local Step: 1000 | Global Episode: 614 | Global Worker Step: 614000| Sparsification ratio : 96.607
