2022-09-27 21:55:31,261 - ERROR - Rank 0 | Episode Reward: 9357.09 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1972 | Global Worker Step: 1420648
2022-09-27 22:16:05,064 - ERROR - Rank 0 | Episode Reward: 9358.02 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1982 | Global Worker Step: 1430648
2022-09-27 22:36:36,217 - ERROR - Rank 0 | Episode Reward: 9358.04 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1992 | Global Worker Step: 1440648
2022-09-27 22:57:07,453 - ERROR - Rank 0 | Episode Reward: 9359.82 | Success cnt: 10 | Local Step: 1000 | Global Episode: 2002 | Global Worker Step: 1450648
2022-09-27 23:17:42,208 - ERROR - Rank 0 | Episode Reward: 9359.78 | Success cnt: 10 | Local Step: 1000 | Global Episode: 2012 | Global Worker Step: 1460648
2022-09-27 23:38:14,840 - ERROR - Rank 0 | Episode Reward: 9359.85 | Success cnt: 10 | Local Step: 1000 | Global Episode: 2022 | Global Worker Step: 1470648
2022-09-27 23:58:48,317 - ERROR - Rank 0 | Episode Reward: 9358.91 | Success cnt: 10 | Local Step: 1000 | Global Episode: 2032 | Global Worker Step: 1480648
2022-09-28 00:19:21,977 - ERROR - Rank 0 | Episode Reward: 9358.03 | Success cnt: 10 | Local Step: 1000 | Global Episode: 2042 | Global Worker Step: 1490648
2022-09-28 00:39:51,497 - ERROR - Rank 0 | Episode Reward: 9359.73 | Success cnt: 10 | Local Step: 1000 | Global Episode: 2052 | Global Worker Step: 1500648
2022-09-28 01:00:27,178 - ERROR - Rank 0 | Episode Reward: 9357.07 | Success cnt: 10 | Local Step: 1000 | Global Episode: 2062 | Global Worker Step: 1510648
2022-09-28 01:21:06,372 - ERROR - Rank 0 | Episode Reward: 9358.95 | Success cnt: 10 | Local Step: 1000 | Global Episode: 2072 | Global Worker Step: 1520648
2022-09-28 01:41:38,405 - ERROR - Rank 0 | Episode Reward: 9359.77 | Success cnt: 10 | Local Step: 1000 | Global Episode: 2082 | Global Worker Step: 1530648
2022-09-28 02:02:13,058 - ERROR - Rank 0 | Episode Reward: 9359.87 | Success cnt: 10 | Local Step: 1000 | Global Episode: 2092 | Global Worker Step: 1540648
2022-09-28 02:22:45,608 - ERROR - Rank 0 | Episode Reward: 9358.89 | Success cnt: 10 | Local Step: 1000 | Global Episode: 2102 | Global Worker Step: 1550648
2022-09-28 02:43:21,137 - ERROR - Rank 0 | Episode Reward: 9359.84 | Success cnt: 10 | Local Step: 1000 | Global Episode: 2112 | Global Worker Step: 1560648
2022-09-28 03:03:55,321 - ERROR - Rank 0 | Episode Reward: 9357.11 | Success cnt: 10 | Local Step: 1000 | Global Episode: 2122 | Global Worker Step: 1570648
2022-09-28 03:24:18,621 - ERROR - Rank 0 | Episode Reward: 8521.74 | Success cnt: 9 | Local Step: 1000 | Global Episode: 2132 | Global Worker Step: 1580648
2022-09-28 03:44:54,246 - ERROR - Rank 0 | Episode Reward: 9357.96 | Success cnt: 10 | Local Step: 1000 | Global Episode: 2142 | Global Worker Step: 1590648
2022-09-28 04:05:27,218 - ERROR - Rank 0 | Episode Reward: 9358.04 | Success cnt: 10 | Local Step: 1000 | Global Episode: 2152 | Global Worker Step: 1600648
2022-09-28 04:25:58,074 - ERROR - Rank 0 | Episode Reward: 9358.94 | Success cnt: 10 | Local Step: 1000 | Global Episode: 2162 | Global Worker Step: 1610648
2022-09-28 04:46:29,046 - ERROR - Rank 0 | Episode Reward: 9359.77 | Success cnt: 10 | Local Step: 1000 | Global Episode: 2172 | Global Worker Step: 1620648
2022-09-28 05:07:02,098 - ERROR - Rank 0 | Episode Reward: 9358.02 | Success cnt: 10 | Local Step: 1000 | Global Episode: 2182 | Global Worker Step: 1630648
2022-09-28 05:27:35,082 - ERROR - Rank 0 | Episode Reward: 9359.78 | Success cnt: 10 | Local Step: 1000 | Global Episode: 2192 | Global Worker Step: 1640648
