2022-10-02 07:06:26,618 - ERROR - Rank 0 | Episode Reward: 3572.61 | Success cnt: 10 | Local Step: 1000 | Global Episode: 797 | Global Worker Step: 793223
2022-10-02 07:08:54,262 - ERROR - Rank 0 | Episode Reward: 3570.29 | Success cnt: 10 | Local Step: 1000 | Global Episode: 803 | Global Worker Step: 799223
2022-10-02 07:11:22,933 - ERROR - Rank 0 | Episode Reward: 3594.40 | Success cnt: 9 | Local Step: 1000 | Global Episode: 810 | Global Worker Step: 806223
2022-10-02 07:13:48,915 - ERROR - Rank 0 | Episode Reward: 3587.87 | Success cnt: 10 | Local Step: 1000 | Global Episode: 817 | Global Worker Step: 813223
2022-10-02 07:16:15,098 - ERROR - Rank 0 | Episode Reward: 3574.46 | Success cnt: 10 | Local Step: 1000 | Global Episode: 823 | Global Worker Step: 819223
2022-10-02 07:18:42,018 - ERROR - Rank 0 | Episode Reward: 3571.70 | Success cnt: 10 | Local Step: 1000 | Global Episode: 830 | Global Worker Step: 826223
2022-10-02 07:21:05,843 - ERROR - Rank 0 | Episode Reward: 3490.85 | Success cnt: 9 | Local Step: 1000 | Global Episode: 836 | Global Worker Step: 832223
2022-10-02 07:23:32,242 - ERROR - Rank 0 | Episode Reward: 3568.49 | Success cnt: 10 | Local Step: 1000 | Global Episode: 843 | Global Worker Step: 839223
2022-10-02 07:26:00,646 - ERROR - Rank 0 | Episode Reward: 3573.66 | Success cnt: 10 | Local Step: 1000 | Global Episode: 850 | Global Worker Step: 846223
2022-10-02 07:28:26,507 - ERROR - Rank 0 | Episode Reward: 3577.20 | Success cnt: 10 | Local Step: 1000 | Global Episode: 856 | Global Worker Step: 852223
2022-10-02 07:30:47,733 - ERROR - Rank 0 | Episode Reward: 3438.12 | Success cnt: 7 | Local Step: 1000 | Global Episode: 862 | Global Worker Step: 858223
2022-10-02 07:33:12,901 - ERROR - Rank 0 | Episode Reward: 3553.25 | Success cnt: 9 | Local Step: 1000 | Global Episode: 869 | Global Worker Step: 865223
2022-10-02 07:35:39,311 - ERROR - Rank 0 | Episode Reward: 3563.31 | Success cnt: 10 | Local Step: 1000 | Global Episode: 876 | Global Worker Step: 872223
2022-10-02 07:38:05,836 - ERROR - Rank 0 | Episode Reward: 3577.06 | Success cnt: 10 | Local Step: 1000 | Global Episode: 882 | Global Worker Step: 878223
2022-10-02 07:40:31,912 - ERROR - Rank 0 | Episode Reward: 3570.28 | Success cnt: 10 | Local Step: 1000 | Global Episode: 888 | Global Worker Step: 884223
2022-10-02 07:42:58,144 - ERROR - Rank 0 | Episode Reward: 3564.09 | Success cnt: 10 | Local Step: 1000 | Global Episode: 895 | Global Worker Step: 891223
2022-10-02 07:45:25,468 - ERROR - Rank 0 | Episode Reward: 3568.38 | Success cnt: 10 | Local Step: 1000 | Global Episode: 902 | Global Worker Step: 898223
2022-10-02 07:47:50,784 - ERROR - Rank 0 | Episode Reward: 3572.30 | Success cnt: 10 | Local Step: 1000 | Global Episode: 908 | Global Worker Step: 904223
2022-10-02 07:50:16,289 - ERROR - Rank 0 | Episode Reward: 3574.98 | Success cnt: 10 | Local Step: 1000 | Global Episode: 915 | Global Worker Step: 911223
2022-10-02 07:52:43,732 - ERROR - Rank 0 | Episode Reward: 3550.30 | Success cnt: 9 | Local Step: 1000 | Global Episode: 922 | Global Worker Step: 917820
2022-10-02 07:55:12,143 - ERROR - Rank 0 | Episode Reward: 3564.37 | Success cnt: 10 | Local Step: 1000 | Global Episode: 929 | Global Worker Step: 924820
2022-10-02 07:57:38,876 - ERROR - Rank 0 | Episode Reward: 3578.62 | Success cnt: 10 | Local Step: 1000 | Global Episode: 935 | Global Worker Step: 930820
2022-10-02 08:00:07,392 - ERROR - Rank 0 | Episode Reward: 3565.36 | Success cnt: 10 | Local Step: 1000 | Global Episode: 941 | Global Worker Step: 936820
2022-10-02 08:02:33,246 - ERROR - Rank 0 | Episode Reward: 3568.24 | Success cnt: 10 | Local Step: 1000 | Global Episode: 948 | Global Worker Step: 943820
2022-10-02 08:04:59,923 - ERROR - Rank 0 | Episode Reward: 3570.79 | Success cnt: 10 | Local Step: 1000 | Global Episode: 955 | Global Worker Step: 950820
2022-10-02 08:07:28,052 - ERROR - Rank 0 | Episode Reward: 3571.76 | Success cnt: 10 | Local Step: 1000 | Global Episode: 962 | Global Worker Step: 957767
2022-10-02 08:09:56,759 - ERROR - Rank 0 | Episode Reward: 3565.10 | Success cnt: 10 | Local Step: 1000 | Global Episode: 968 | Global Worker Step: 963767
2022-10-02 08:12:20,894 - ERROR - Rank 0 | Episode Reward: 3539.24 | Success cnt: 9 | Local Step: 1000 | Global Episode: 974 | Global Worker Step: 969767
2022-10-02 08:14:47,575 - ERROR - Rank 0 | Episode Reward: 3563.25 | Success cnt: 10 | Local Step: 1000 | Global Episode: 981 | Global Worker Step: 976767
2022-10-02 08:17:13,105 - ERROR - Rank 0 | Episode Reward: 3584.63 | Success cnt: 10 | Local Step: 1000 | Global Episode: 988 | Global Worker Step: 983767
2022-10-02 08:19:39,802 - ERROR - Rank 0 | Episode Reward: 3592.27 | Success cnt: 9 | Local Step: 1000 | Global Episode: 994 | Global Worker Step: 989767
2022-10-02 08:22:05,130 - ERROR - Rank 0 | Episode Reward: 3463.43 | Success cnt: 9 | Local Step: 1000 | Global Episode: 1000 | Global Worker Step: 995767
2022-10-02 08:24:31,656 - ERROR - Rank 0 | Episode Reward: 3572.39 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1007 | Global Worker Step: 1002767
2022-10-02 08:26:57,173 - ERROR - Rank 0 | Episode Reward: 3568.21 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1014 | Global Worker Step: 1009767
2022-10-02 08:29:24,501 - ERROR - Rank 0 | Episode Reward: 3567.18 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1021 | Global Worker Step: 1016767
2022-10-02 08:31:50,114 - ERROR - Rank 0 | Episode Reward: 3566.50 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1027 | Global Worker Step: 1022767
2022-10-02 08:34:18,107 - ERROR - Rank 0 | Episode Reward: 3572.41 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1033 | Global Worker Step: 1028767
2022-10-02 08:36:43,444 - ERROR - Rank 0 | Episode Reward: 3564.88 | Success cnt: 9 | Local Step: 1000 | Global Episode: 1040 | Global Worker Step: 1035767
2022-10-02 08:39:06,717 - ERROR - Rank 0 | Episode Reward: 3500.01 | Success cnt: 9 | Local Step: 1000 | Global Episode: 1047 | Global Worker Step: 1042767
2022-10-02 08:41:33,679 - ERROR - Rank 0 | Episode Reward: 3576.03 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1053 | Global Worker Step: 1048767
2022-10-02 08:44:01,084 - ERROR - Rank 0 | Episode Reward: 3572.95 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1059 | Global Worker Step: 1054566
2022-10-02 08:46:27,530 - ERROR - Rank 0 | Episode Reward: 3574.77 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1066 | Global Worker Step: 1061566
2022-10-02 08:48:53,832 - ERROR - Rank 0 | Episode Reward: 3572.79 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1073 | Global Worker Step: 1068566
2022-10-02 08:51:20,763 - ERROR - Rank 0 | Episode Reward: 3564.36 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1080 | Global Worker Step: 1075566
2022-10-02 08:53:48,318 - ERROR - Rank 0 | Episode Reward: 3573.34 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1087 | Global Worker Step: 1082259
2022-10-02 08:56:14,244 - ERROR - Rank 0 | Episode Reward: 3525.61 | Success cnt: 9 | Local Step: 1000 | Global Episode: 1093 | Global Worker Step: 1088259
